Mean_Zero,Mean,Timestamp,Delta
85.0,85.0,2019-04-28 05,0.0
99.6,99.6,2019-04-22 10,0.0
77.2,96.5,2019-05-12 08,-19.299999999999997
91.2,91.2,2019-05-03 12,0.0
88.2,88.2,2019-05-09 18,0.0
78.4,78.4,2019-04-27 04,0.0
79.8,79.8,2019-04-27 17,0.0
82.8,82.8,2019-04-29 11,0.0
87.2,87.2,2019-04-19 13,0.0
91.6,91.6,2019-05-07 03,0.0
85.6,85.6,2019-05-04 01,0.0
88.8,88.8,2019-05-07 09,0.0
78.2,78.2,2019-04-27 12,0.0
84.4,84.4,2019-05-01 08,0.0
81.0,81.0,2019-04-25 08,0.0
94.6,94.6,2019-04-20 19,0.0
86.8,86.8,2019-04-28 18,0.0
84.2,84.2,2019-05-01 07,0.0
84.8,84.8,2019-04-28 13,0.0
86.4,86.4,2019-04-26 10,0.0
91.0,91.0,2019-05-02 20,0.0
89.2,89.2,2019-04-22 19,0.0
78.2,78.2,2019-04-27 22,0.0
93.0,93.0,2019-05-06 10,0.0
90.8,90.8,2019-05-04 20,0.0
86.0,86.0,2019-04-24 06,0.0
96.6,96.6,2019-05-07 22,0.0
79.6,99.5,2019-05-09 02,-19.900000000000006
89.2,89.2,2019-05-04 21,0.0
84.0,84.0,2019-05-01 23,0.0
92.4,92.4,2019-05-09 23,0.0
85.6,85.6,2019-04-23 23,0.0
85.8,85.8,2019-04-26 04,0.0
78.2,97.75,2019-05-11 11,-19.549999999999997
85.4,85.4,2019-05-03 23,0.0
79.4,79.4,2019-04-28 08,0.0
96.6,96.6,2019-05-06 15,0.0
88.6,88.6,2019-04-23 04,0.0
88.8,88.8,2019-04-21 22,0.0
88.2,88.2,2019-05-09 12,0.0
88.4,88.4,2019-04-22 00,0.0
91.8,91.8,2019-05-06 12,0.0
87.0,87.0,2019-04-19 01,0.0
83.8,83.8,2019-04-29 06,0.0
80.2,80.2,2019-04-28 00,0.0
96.2,96.2,2019-05-11 22,0.0
89.4,89.4,2019-05-05 05,0.0
85.2,85.2,2019-04-25 00,0.0
82.2,82.2,2019-04-29 00,0.0
88.6,88.6,2019-05-08 01,0.0
92.4,92.4,2019-05-10 12,0.0
86.0,86.0,2019-04-30 08,0.0
93.6,93.6,2019-04-26 20,0.0
88.4,88.4,2019-04-22 22,0.0
106.4,106.4,2019-05-09 10,0.0
78.4,78.4,2019-04-27 10,0.0
86.8,86.8,2019-04-24 12,0.0
81.4,81.4,2019-04-29 09,0.0
90.2,90.2,2019-05-09 15,0.0
94.0,94.0,2019-05-08 10,0.0
89.8,89.8,2019-04-18 16,0.0
88.6,88.6,2019-04-21 16,0.0
92.4,92.4,2019-04-21 14,0.0
93.0,116.25,2019-05-09 16,-23.25
84.4,84.4,2019-05-01 09,0.0
81.4,81.4,2019-04-25 19,0.0
94.0,94.0,2019-04-23 13,0.0
88.4,88.4,2019-05-02 03,0.0
85.6,85.6,2019-04-23 09,0.0
82.6,82.6,2019-04-28 17,0.0
