1,2,3,4,5,6,7,8,9,10,11
183,0.865,0.865,1.023,0.937,0.937,1.023,0.937,0.862,0.94,0.94,0.94
184,0.865,1.023,0.937,0.937,1.023,0.937,0.862,0.94,0.94,0.94,1.011
185,1.023,0.937,0.937,1.023,0.937,0.862,0.94,0.94,0.94,1.011,0.874
186,0.937,0.937,1.023,0.937,0.862,0.94,0.94,0.94,1.011,0.874,0.94
187,0.937,1.023,0.937,0.862,0.94,0.94,0.94,1.011,0.874,0.94,0.874
188,1.023,0.937,0.862,0.94,0.94,0.94,1.011,0.874,0.94,0.874,0.94
189,0.937,0.862,0.94,0.94,0.94,1.011,0.874,0.94,0.874,0.94,1.034
190,0.862,0.94,0.94,0.94,1.011,0.874,0.94,0.874,0.94,1.034,1.034
191,0.94,0.94,0.94,1.011,0.874,0.94,0.874,0.94,1.034,1.034,0.94
192,0.94,0.94,1.011,0.874,0.94,0.874,0.94,1.034,1.034,0.94,1.011
193,0.94,1.011,0.874,0.94,0.874,0.94,1.034,1.034,0.94,1.011,0.874
194,1.011,0.874,0.94,0.874,0.94,1.034,1.034,0.94,1.011,0.874,1.034
195,0.874,0.94,0.874,0.94,1.034,1.034,0.94,1.011,0.874,1.034,0.874
196,0.94,0.874,0.94,1.034,1.034,0.94,1.011,0.874,1.034,0.874,1.034
197,0.874,0.94,1.034,1.034,0.94,1.011,0.874,1.034,0.874,1.034,1.011
198,0.94,1.034,1.034,0.94,1.011,0.874,1.034,0.874,1.034,1.011,1.011
199,1.034,1.034,0.94,1.011,0.874,1.034,0.874,1.034,1.011,1.011,0.874
200,1.034,0.94,1.011,0.874,1.034,0.874,1.034,1.011,1.011,0.874,1.011
201,0.94,1.011,0.874,1.034,0.874,1.034,1.011,1.011,0.874,1.011,0.94
202,1.011,0.874,1.034,0.874,1.034,1.011,1.011,0.874,1.011,0.94,1.034
203,0.874,1.034,0.874,1.034,1.011,1.011,0.874,1.011,0.94,1.034,1.167
204,1.034,0.874,1.034,1.011,1.011,0.874,1.011,0.94,1.034,1.167,1.034
205,0.874,1.034,1.011,1.011,0.874,1.011,0.94,1.034,1.167,1.034,0.937
206,1.034,1.011,1.011,0.874,1.011,0.94,1.034,1.167,1.034,0.937,0.937
207,1.011,1.011,0.874,1.011,0.94,1.034,1.167,1.034,0.937,0.937,0.937
208,1.011,0.874,1.011,0.94,1.034,1.167,1.034,0.937,0.937,0.937,0.937
209,0.874,1.011,0.94,1.034,1.167,1.034,0.937,0.937,0.937,0.937,0.966
210,1.011,0.94,1.034,1.167,1.034,0.937,0.937,0.937,0.937,0.966,0.937
211,0.94,1.034,1.167,1.034,0.937,0.937,0.937,0.937,0.966,0.937,1.167
212,1.034,1.167,1.034,0.937,0.937,0.937,0.937,0.966,0.937,1.167,0.937
