price_per_night;timestamp,Influencer_or_Not
 282;2019-05-01 11,Influencer
 294;2019-04-19 06,Influencer
 235;2019-04-23 15,Influencer
 282;2019-04-29 19,Influencer
 235;2019-04-22 10,Influencer
 371;2019-04-21 06,Influencer
 371;2019-04-20 19,Influencer
 371;2019-04-21 00,Influencer
 282;2019-05-02 09,Influencer
 275;2019-05-11 10,Influencer
 281;2019-05-06 20,Influencer
 371;2019-04-18 21,Influencer
 281;2019-04-29 17,Influencer
 281;2019-04-29 11,Influencer
 275;2019-05-12 08,Influencer
 276;2019-05-09 10,Influencer
 281;2019-04-26 11,Influencer
 276;2019-05-09 11,Influencer
 371;2019-04-18 20,Influencer
 282;2019-05-01 07,Influencer
 281;2019-05-01 20,Influencer
 235;2019-04-20 15,Influencer
 281;2019-04-29 16,Influencer
 275;2019-05-12 07,Influencer
 281;2019-04-28 23,Influencer
 363;2019-04-23 05,Influencer
 281;2019-04-27 04,Influencer
 281;2019-04-25 21,Influencer
 255;2019-05-03 22,Influencer
 282;2019-05-02 12,Influencer
 378;2019-04-19 07,Influencer
 362;2019-05-05 13,Influencer
 371;2019-04-18 17,Influencer
 282;2019-05-02 03,Influencer
 371;2019-04-22 23,Influencer
 371;2019-04-19 19,Influencer
 363;2019-04-25 20,Influencer
 361;2019-04-30 00,Influencer
 281;2019-04-27 15,Influencer
 372;2019-04-24 14,Influencer
 293;2019-05-07 16,Influencer
 281;2019-05-06 17,Influencer
 281;2019-04-27 16,Influencer
 293;2019-04-19 10,Influencer
 282;2019-05-03 20,Influencer
 233;2019-04-21 17,Influencer
 281;2019-04-30 10,Influencer
 281;2019-04-26 04,Influencer
 372;2019-04-24 07,Influencer
 371;2019-04-19 19,Influencer
 281;2019-04-26 17,Influencer
 281;2019-04-27 02,Influencer
 281;2019-05-05 19,Influencer
 275;2019-05-09 23,Influencer
 363;2019-05-04 00,Influencer
 372;2019-04-23 09,Influencer
 275;2019-05-11 01,Influencer
 281;2019-04-28 03,Influencer
 281;2019-05-04 04,Influencer
 378;2019-04-26 01,Influencer
 276;2019-05-08 03,Influencer
 275;2019-05-09 19,Influencer
 371;2019-04-21 01,Influencer
 276;2019-05-09 14,Influencer
 371;2019-04-22 22,Influencer
 282;2019-05-03 04,Influencer
 234;2019-05-04 12,Influencer
 282;2019-05-04 02,Influencer
 276;2019-05-08 22,Influencer
 257;2019-04-24 21,Influencer
 282;2019-05-03 15,Influencer
 276;2019-05-09 13,Influencer
 281;2019-04-26 14,Influencer
 275;2019-05-11 19,Influencer
 295;2019-04-19 15,Influencer
 372;2019-04-24 15,Influencer
 281;2019-04-25 17,Influencer
 281;2019-04-30 02,Influencer
 283;2019-04-25 13,Influencer
 233;2019-04-22 01,Influencer
 281;2019-05-06 21,Influencer
 275;2019-05-12 05,Influencer
 275;2019-05-11 03,Influencer
 281;2019-05-04 17,Influencer
 281;2019-04-25 19,Influencer
 372;2019-04-24 02,Influencer
 281;2019-04-30 08,Influencer
 281;2019-05-04 23,Influencer
 362;2019-05-11 09,Influencer
 372;2019-04-23 16,Influencer
 282;2019-04-29 21,Influencer
 281;2019-04-26 15,Influencer
 311;2019-05-07 17,Influencer
 282;2019-05-03 17,Influencer
 371;2019-04-18 23,Influencer
 282;2019-05-02 13,Influencer
 281;2019-05-06 13,Influencer
 275;2019-05-10 10,Influencer
 282;2019-05-03 00,Influencer
 281;2019-05-06 16,Influencer
 281;2019-04-26 16,Influencer
 275;2019-05-12 06,Influencer
0;2019-05-10 02,Influencer
 281;2019-04-26 20,Influencer
 276;2019-05-08 07,Influencer
 293;2019-05-08 04,Influencer
 275;2019-05-11 00,Influencer
 283;2019-04-25 08,Influencer
 372;2019-04-24 13,Influencer
 276;2019-05-08 02,Influencer
0;2019-05-12 04,Influencer
 371;2019-04-20 09,Influencer
 283;2019-04-24 23,Influencer
 281;2019-05-01 19,Influencer
 281;2019-05-06 01,Influencer
 281;2019-05-06 03,Influencer
 282;2019-05-03 16,Influencer
 275;2019-05-11 12,Influencer
 275;2019-05-10 09,Influencer
 293;2019-05-07 23,Influencer
 234;2019-04-29 13,Influencer
 282;2019-05-07 04,Influencer
 281;2019-05-04 05,Influencer
 281;2019-04-30 04,Influencer
 363;2019-05-10 05,Influencer
 281;2019-05-06 12,Influencer
 275;2019-05-09 20,Influencer
 276;2019-05-09 08,Influencer
 382;2019-05-07 03,Influencer
 281;2019-04-27 07,Influencer
 372;2019-04-23 18,Influencer
 233;2019-04-20 16,Influencer
 281;2019-04-27 12,Influencer
 282;2019-05-03 05,Influencer
 363;2019-05-03 09,Influencer
 282;2019-05-03 02,Influencer
 235;2019-04-22 05,Influencer
 371;2019-04-18 15,Influencer
 282;2019-04-29 20,Influencer
 281;2019-05-04 06,Influencer
 281;2019-04-28 02,Influencer
 281;2019-05-04 16,Influencer
 283;2019-04-25 04,Influencer
 232;2019-04-28 09,Influencer
 382;2019-05-09 18,Influencer
 282;2019-05-01 01,Influencer
 281;2019-04-28 07,Influencer
 281;2019-04-28 18,Influencer
 281;2019-05-05 06,Influencer
 282;2019-05-02 23,Influencer
 364;2019-04-25 10,Influencer
 281;2019-04-30 14,Influencer
 293;2019-04-19 11,Influencer
 281;2019-04-29 00,Influencer
 281;2019-04-28 14,Influencer
 235;2019-04-24 08,Influencer
 281;2019-04-30 03,Influencer
 282;2019-05-01 06,Influencer
 371;2019-04-20 09,Influencer
 281;2019-04-25 18,Influencer
 371;2019-04-18 19,Influencer
 233;2019-04-21 16,Influencer
 281;2019-04-26 08,Influencer
 233;2019-04-21 19,Influencer
 281;2019-04-29 01,Influencer
 281;2019-05-06 00,Influencer
0;2019-05-11 04,Influencer
 282;2019-05-03 06,Influencer
 282;2019-05-01 10,Influencer
 276;2019-05-09 03,Influencer
 282;2019-05-03 11,Influencer
 234;2019-04-27 09,Influencer
 282;2019-05-03 23,Influencer
 361;2019-04-28 06,Influencer
 282;2019-04-30 01,Influencer
 371;2019-04-23 00,Influencer
 233;2019-04-23 10,Influencer
 283;2019-04-24 19,Influencer
 281;2019-05-01 23,Influencer
 281;2019-04-27 19,Influencer
 282;2019-05-02 02,Influencer
 281;2019-04-28 11,Influencer
 283;2019-04-24 18,Influencer
