2019-04-17 17:40:49.699312,platform_name,price_per_night,timestamp
,," 1,930",2019-04-30 07:13:01.445751
,," 1,929",2019-04-20 09:01:11.090483
,, 881,2019-05-05 21:12:00.744334
,, 885,2019-05-09 17:12:01.439825
,, 881,2019-05-05 07:12:01.211421
,," 1,937",2019-05-09 03:12:01.057050
,," 1,930",2019-04-29 17:20:01.384266
,, 881,2019-05-05 03:12:01.469749
,, 888,2019-04-18 15:58:01.091182
,,0,2019-05-12 09:12:01.418016
,, 880,2019-04-21 00:20:01.853318
,, 882,2019-05-07 23:12:01.137954
,, 881,2019-05-05 14:12:01.414999
,, 877,2019-05-12 03:12:01.728286
,, 885,2019-04-26 22:20:01.497435
,, 880,2019-04-19 10:05:01.568445
,, 884,2019-04-29 07:20:01.529328
,," 1,936",2019-05-03 20:12:01.432367
,, 884,2019-05-03 03:12:01.374041
,," 1,936",2019-05-04 03:12:01.334982
,, 880,2019-04-23 04:20:01.505176
,, 880,2019-04-23 07:20:01.915254
,, 880,2019-04-19 09:05:01.000985
,, 884,2019-05-03 22:12:02.104360
,, 885,2019-05-09 09:12:01.731708
,, 885,2019-05-09 04:12:01.695993
,, 884,2019-04-28 04:20:01.186251
,, 876,2019-04-19 02:05:01.170153
,," 1,931",2019-04-26 15:20:01.458768
,, 884,2019-04-29 21:20:01.924322
,, 885,2019-04-25 15:20:01.937857
,, 880,2019-05-10 13:12:01.623309
,," 1,933",2019-05-06 18:12:01.457570
,, 880,2019-04-21 17:20:01.145878
,, 884,2019-04-27 09:20:01.533638
,," 1,933",2019-05-07 06:12:01.535264
,," 1,938",2019-05-02 13:12:01.255925
,, 880,2019-04-20 20:20:01.905221
,, 877,2019-05-11 09:12:01.285744
,, 884,2019-05-08 14:12:01.497288
,, 882,2019-05-02 11:12:01.280833
,," 1,931",2019-04-27 03:20:01.831319
,, 884,2019-04-28 07:20:01.645374
,, 881,2019-05-05 10:12:01.677412
,," 1,931",2019-04-27 05:20:01.496720
,, 884,2019-04-29 00:20:01.661622
,, 880,2019-04-22 13:20:01.687886
,," 1,933",2019-05-06 19:12:00.873934
,," 1,933",2019-05-05 13:12:01.246390
,, 877,2019-05-11 10:12:01.583634
,, 885,2019-04-27 00:20:01.523099
,," 1,930",2019-04-28 06:20:01.021848
,, 884,2019-04-29 10:20:01.295926
,," 1,939",2019-05-01 18:12:01.084176
,, 881,2019-05-04 02:12:01.531178
,, 884,2019-05-03 09:12:00.880877
,, 880,2019-04-23 08:20:01.367730
,, 885,2019-04-25 17:20:00.918355
,," 1,938",2019-05-09 14:12:01.596835
,," 1,938",2019-05-10 09:12:01.217972
,," 1,938",2019-04-26 04:20:01.460006
,, 880,2019-04-21 02:20:01.876394
,, 881,2019-05-06 05:12:01.389863
,," 1,938",2019-04-25 18:20:01.242178
,," 1,933",2019-05-06 16:12:01.359695
,, 881,2019-05-04 18:12:01.412269
,," 1,938",2019-05-10 04:12:01.090207
,, 882,2019-05-07 16:12:01.029657
,," 1,933",2019-04-30 15:12:01.548847
,, 884,2019-05-08 08:12:00.729176
,, 884,2019-04-28 12:20:01.870456
,, 884,2019-04-27 08:20:00.957689
,, 885,2019-05-09 19:12:01.690206
,, 881,2019-05-05 20:12:01.657213
,, 885,2019-04-24 01:20:01.367246
,, 895,2019-04-23 15:20:01.342575
,," 1,938",2019-04-26 00:20:01.770896
,, 885,2019-05-09 12:12:01.525541
,, 884,2019-04-27 22:20:01.268312
,," 1,937",2019-05-08 16:12:01.173012
,, 876,2019-04-18 15:28:01.150810
,," 1,933",2019-05-06 21:12:01.174258
,, 884,2019-05-08 09:12:00.883706
,, 884,2019-05-01 13:12:01.360743
,, 884,2019-04-30 16:12:01.369041
,," 1,931",2019-04-26 13:20:01.260553
,, 881,2019-05-05 16:12:00.859118
,, 876,2019-04-18 23:05:01.474323
,, 885,2019-05-09 18:12:01.706635
,, 876,2019-04-19 01:05:01.415603
,,0,2019-05-10 08:12:01.239009
,, 880,2019-04-21 13:20:01.688769
,, 885,2019-04-26 20:20:01.447673
,, 880,2019-04-21 01:20:01.182171
,, 880,2019-04-22 19:20:01.707218
,, 880,2019-04-23 10:20:02.060000
,," 1,937",2019-05-08 22:12:00.823013
,, 882,2019-05-02 09:12:01.877606
,, 880,2019-04-20 15:18:30.248212
,," 1,931",2019-04-26 23:20:01.638229
,, 877,2019-05-11 15:12:01.238834
,, 876,2019-04-18 15:29:01.481920
,, 880,2019-04-22 15:20:01.246998
,, 885,2019-04-24 21:20:01.459851
,, 880,2019-04-21 14:20:01.096184
,, 884,2019-05-03 04:12:01.809752
,, 876,2019-04-18 20:05:01.352380
,, 885,2019-04-25 02:20:01.204718
,, 884,2019-04-28 09:20:01.072631
,, 884,2019-05-03 08:12:01.172939
,, 884,2019-04-28 18:20:01.138099
,, 882,2019-05-02 07:12:02.125230
,, 880,2019-04-22 09:20:01.624707
,, 881,2019-05-06 10:12:01.644940
,, 884,2019-05-08 05:12:01.387069
,," 1,939",2019-05-02 02:12:01.268281
,," 1,930",2019-04-23 01:20:01.909555
,, 877,2019-05-12 01:12:00.927538
,," 1,933",2019-05-01 00:12:01.749666
,," 1,935",2019-05-10 11:12:01.772799
,, 885,2019-04-25 22:20:01.052968
,, 877,2019-05-11 14:12:01.165476
,, 881,2019-05-06 14:12:01.072653
,, 881,2019-05-06 09:12:01.013789
,, 885,2019-04-25 06:20:01.098750
,," 1,936",2019-05-03 12:12:01.176121
,, 882,2019-05-07 18:12:01.533631
,, 885,2019-04-26 11:20:01.228196
,, 881,2019-05-04 04:12:01.218957
,," 1,939",2019-05-02 10:12:01.517189
,," 1,932",2019-04-24 07:20:01.611708
,, 884,2019-04-30 02:20:02.199940
,," 1,930",2019-04-29 15:20:01.736783
,, 885,2019-04-27 01:20:01.056399
,, 882,2019-05-07 15:12:01.349782
,, 884,2019-04-28 01:20:01.450445
,, 884,2019-04-29 23:20:01.957049
,, 884,2019-04-30 11:14:49.432978
,, 885,2019-04-24 19:20:01.063198
,, 876,2019-04-18 15:43:01.413357
,," 1,930",2019-04-28 20:20:01.709830
,, 877,2019-05-11 23:12:00.964198
,, 882,2019-05-07 09:12:01.177314
,, 884,2019-04-30 10:29:31.329423
,, 885,2019-04-25 21:20:01.529956
,," 1,938",2019-05-09 16:12:01.145138
,, 880,2019-04-23 14:20:01.152402
,, 880,2019-04-21 07:20:01.570009
,, 880,2019-04-22 02:20:01.383748
,, 885,2019-04-24 13:20:01.414491
,, 884,2019-05-08 12:12:00.930913
,, 884,2019-05-04 01:12:00.850985
,, 881,2019-05-04 15:12:01.126891
,, 880,2019-04-23 06:20:01.839022
,, 882,2019-05-02 14:12:01.005284
,, 884,2019-05-01 10:12:01.734373
,, 885,2019-04-25 08:20:01.381843
,," 2,105",2019-05-02 22:12:01.570787
,, 880,2019-04-19 06:05:01.354259
,, 884,2019-04-27 10:20:01.000221
,, 876,2019-04-18 15:33:01.528537
,, 885,2019-04-26 05:20:02.209651
,, 884,2019-04-30 02:49:01.925095
,, 885,2019-04-24 10:20:01.375410
,, 884,2019-04-28 03:20:01.662744
,, 884,2019-05-01 20:51:00.807048
,, 880,2019-04-19 13:05:00.946344
,, 880,2019-04-21 04:20:01.815168
,, 884,2019-04-29 03:20:01.027815
,, 880,2019-04-22 12:20:01.043983
,," 1,935",2019-05-10 16:12:01.347766
,, 880,2019-05-10 05:12:01.594751
,, 884,2019-04-30 23:12:02.081076
,,0,2019-05-11 00:12:01.318991
,, 885,2019-05-09 22:12:01.012791
,," 1,933",2019-04-30 21:12:02.151046
,, 885,2019-05-09 20:12:00.988701
,, 884,2019-04-29 12:20:01.604081
,," 1,935",2019-05-10 14:12:01.452748
,, 876,2019-04-18 16:58:01.224516
,, 881,2019-05-06 03:12:00.801441
,, 880,2019-04-19 11:05:01.481239
,, 881,2019-05-04 05:12:01.118013
,, 885,2019-04-26 19:20:01.864633
,, 885,2019-04-25 19:20:01.134498
,," 1,930",2019-04-27 12:20:01.013385
,, 884,2019-04-30 05:13:01.040866
,, 880,2019-04-23 08:41:51.637176
,, 884,2019-04-30 19:12:01.640563
,, 885,2019-04-25 14:20:00.944799
,, 885,2019-04-24 04:20:01.158755
,, 881,2019-05-05 00:12:00.865161
,, 877,2019-05-12 02:12:01.114376
,," 1,934",2019-05-07 17:12:01.596634
,, 885,2019-04-25 09:20:01.820014
,, 880,2019-04-22 05:20:01.328253
,," 1,930",2019-04-28 23:20:01.190864
,, 885,2019-04-25 01:20:01.023549
,, 881,2019-05-05 12:12:01.512127
,, 882,2019-05-07 19:12:01.650633
,, 884,2019-05-01 15:12:01.278362
,, 877,2019-05-12 00:12:01.369125
,," 1,938",2019-05-10 06:12:01.546593
,, 881,2019-05-05 17:12:01.316333
,, 877,2019-05-12 04:12:01.114669
,, 882,2019-05-07 07:12:01.410084
,," 1,930",2019-04-22 08:20:01.695509
,, 880,2019-04-23 22:20:01.803513
,, 884,2019-04-30 03:09:02.169019
,, 884,2019-05-08 23:12:01.372134
,, 884,2019-05-08 17:12:00.806926
,, 882,2019-05-03 01:12:01.439186
,, 880,2019-04-23 16:20:01.708054
,, 884,2019-05-08 03:12:01.164356
,, 884,2019-05-03 23:12:01.415741
,, 884,2019-04-29 13:20:01.376501
,, 881,2019-05-05 01:12:01.119187
,, 884,2019-04-29 16:20:01.396391
,, 877,2019-05-11 03:12:01.678617
,, 885,2019-04-25 12:20:01.115012
,, 877,2019-05-11 22:12:00.865026
,, 884,2019-05-01 06:12:01.326482
,, 881,2019-05-05 23:12:01.495860
,, 884,2019-04-30 03:07:01.919333
,, 884,2019-04-29 08:20:01.361314
,, 884,2019-05-03 15:12:01.163778
,, 880,2019-04-22 00:20:02.047113
,," 1,938",2019-05-09 23:12:01.327708
,, 884,2019-05-01 02:12:01.897206
,," 1,933",2019-05-05 18:12:00.988576
,, 884,2019-04-30 10:13:01.853572
,," 2,029",2019-05-11 11:12:01.113087
,," 1,932",2019-04-23 23:20:01.625738
,, 884,2019-05-01 22:12:01.264045
,, 882,2019-05-02 08:12:01.653564
,," 1,933",2019-05-07 10:12:01.647762
,, 880,2019-04-20 18:20:01.090347
,," 1,930",2019-04-27 21:20:01.375966
,, 880,2019-04-20 22:20:01.625039
,," 1,930",2019-04-22 10:20:01.932672
,," 1,929",2019-04-19 15:05:01.355940
,," 1,937",2019-05-09 00:12:00.800910
,," 1,937",2019-05-08 15:12:01.426155
,," 1,932",2019-04-23 17:20:01.670610
,, 884,2019-04-30 14:12:01.327882
,,0,2019-05-11 06:12:01.320421
,, 880,2019-04-20 16:20:01.305181
,, 884,2019-05-01 16:12:01.628192
,, 882,2019-05-07 03:12:01.652740
,, 884,2019-05-03 07:12:01.329736
,," 1,930",2019-04-22 17:20:01.222580
,, 884,2019-05-03 10:12:00.805120
,, 882,2019-05-07 01:12:01.349458
,, 885,2019-05-09 07:12:01.440610
,, 880,2019-05-10 15:12:01.170968
,," 1,938",2019-05-09 21:12:01.655437
,, 882,2019-05-02 17:12:01.621636
,, 884,2019-04-27 19:20:00.957330
,, 880,2019-05-10 17:12:00.856335
,, 884,2019-04-30 09:13:01.335603
,, 882,2019-05-02 16:12:01.114919
,," 1,930",2019-04-28 16:20:01.426183
,," 1,937",2019-04-25 03:20:01.752967
,," 1,933",2019-05-01 07:12:01.807537
