;price_per_night,timestamp
Hotel Charleston Santa Teresa,271,2019-04-26 04:20:01.; 271,2019-04-26 04:20:01.460006
Hotel Charleston Santa Teresa,262,2019-04-23 00:20:01.; 262,2019-04-23 00:20:01.464388
Hotel Charleston Santa Teresa,257,2019-04-21 03:20:01.; 257,2019-04-21 03:20:01.276184
Hotel Charleston Santa Teresa,265,2019-04-25 23:20:02.; 265,2019-04-25 23:20:02.125770
Hotel Charleston Santa Teresa,256,2019-04-18 15:29:01.; 256,2019-04-18 15:29:01.481920
Hotel Charleston Santa Teresa,256,2019-04-19 04:05:01.; 256,2019-04-19 04:05:01.728225
Hotel Charleston Santa Teresa,262,2019-04-23 13:20:01.; 262,2019-04-23 13:20:01.414413
Hotel Charleston Santa Teresa,263,2019-04-24 13:20:01.; 263,2019-04-24 13:20:01.414491
Hotel Charleston Santa Teresa,263,2019-04-27 12:20:01.; 263,2019-04-27 12:20:01.013385
Hotel Charleston Santa Teresa,264,2019-04-19 00:05:01.; 264,2019-04-19 00:05:01.528603
Hotel Charleston Santa Teresa,257,2019-04-22 17:20:01.; 257,2019-04-22 17:20:01.222580
Hotel Charleston Santa Teresa,263,2019-04-27 08:20:00.; 263,2019-04-27 08:20:00.957689
Hotel Charleston Santa Teresa,256,2019-04-18 23:05:01.; 256,2019-04-18 23:05:01.474323
Hotel Charleston Santa Teresa,270,2019-04-26 21:20:01.; 270,2019-04-26 21:20:01.282928
Hotel Charleston Santa Teresa,263,2019-04-24 04:20:01.; 263,2019-04-24 04:20:01.158755
Hotel Charleston Santa Teresa,267,2019-04-27 09:20:01.; 267,2019-04-27 09:20:01.533638
Hotel Charleston Santa Teresa,263,2019-04-24 12:20:01.; 263,2019-04-24 12:20:01.755507
Hotel Charleston Santa Teresa,257,2019-04-20 16:02:01.; 257,2019-04-20 16:02:01.455611
Hotel Charleston Santa Teresa,292,2019-04-24 21:20:01.; 292,2019-04-24 21:20:01.459851
Hotel Charleston Santa Teresa,271,2019-04-26 02:20:01.; 271,2019-04-26 02:20:01.844079
Hotel Charleston Santa Teresa,265,2019-04-21 18:20:01.; 265,2019-04-21 18:20:01.321149
Hotel Charleston Santa Teresa,262,2019-04-23 12:20:01.; 262,2019-04-23 12:20:01.079076
Hotel Charleston Santa Teresa,265,2019-04-23 09:20:01.; 265,2019-04-23 09:20:01.810668
Hotel Charleston Santa Teresa,257,2019-04-22 12:20:01.; 257,2019-04-22 12:20:01.043983
Hotel Charleston Santa Teresa,267,2019-04-20 18:20:01.; 267,2019-04-20 18:20:01.090347
Hotel Charleston Santa Teresa,257,2019-04-21 09:20:01.; 257,2019-04-21 09:20:01.954046
Hotel Charleston Santa Teresa,262,2019-04-24 00:20:01.; 262,2019-04-24 00:20:01.252788
Hotel Charleston Santa Teresa,257,2019-04-22 13:20:01.; 257,2019-04-22 13:20:01.687886
Hotel Charleston Santa Teresa,263,2019-04-25 12:20:01.; 263,2019-04-25 12:20:01.115012
Hotel Charleston Santa Teresa,269,2019-04-24 17:20:01.; 269,2019-04-24 17:20:01.342698
Hotel Charleston Santa Teresa,263,2019-04-25 18:20:01.; 263,2019-04-25 18:20:01.242178
Hotel Charleston Santa Teresa,263,2019-04-25 03:20:01.; 263,2019-04-25 03:20:01.752967
Hotel Charleston Santa Teresa,243,2019-04-20 09:13:42.; 243,2019-04-20 09:13:42.001841
Hotel Charleston Santa Teresa,262,2019-04-23 14:20:01.; 262,2019-04-23 14:20:01.152402
Hotel Charleston Santa Teresa,263,2019-04-25 04:20:01.; 263,2019-04-25 04:20:01.766889
Hotel Charleston Santa Teresa,262,2019-04-23 16:20:01.; 262,2019-04-23 16:20:01.708054
Hotel Charleston Santa Teresa,257,2019-04-21 21:20:01.; 257,2019-04-21 21:20:01.722401
Hotel Charleston Santa Teresa,243,2019-04-20 08:49:24.; 243,2019-04-20 08:49:24.413005
Hotel Charleston Santa Teresa,269,2019-04-24 22:20:01.; 269,2019-04-24 22:20:01.044692
Hotel Charleston Santa Teresa,262,2019-04-24 02:20:01.; 262,2019-04-24 02:20:01.307409
Hotel Charleston Santa Teresa,264,2019-04-18 15:58:01.; 264,2019-04-18 15:58:01.091182
Hotel Charleston Santa Teresa,263,2019-04-25 08:20:01.; 263,2019-04-25 08:20:01.381843
Hotel Charleston Santa Teresa,294,2019-04-20 15:18:30.; 294,2019-04-20 15:18:30.248212
Hotel Charleston Santa Teresa,256,2019-04-18 16:58:01.; 256,2019-04-18 16:58:01.224516
Hotel Charleston Santa Teresa,257,2019-04-22 20:20:01.; 257,2019-04-22 20:20:01.234198
Hotel Charleston Santa Teresa,270,2019-04-27 01:20:01.; 270,2019-04-27 01:20:01.056399
Hotel Charleston Santa Teresa,267,2019-04-26 18:20:01.; 267,2019-04-26 18:20:01.842875
Hotel Charleston Santa Teresa,257,2019-04-20 21:20:01.; 257,2019-04-20 21:20:01.267948
Hotel Charleston Santa Teresa,270,2019-04-26 07:20:01.; 270,2019-04-26 07:20:01.183267
Hotel Charleston Santa Teresa,262,2019-04-23 05:20:01.; 262,2019-04-23 05:20:01.916416
Hotel Charleston Santa Teresa,269,2019-04-26 16:20:01.; 269,2019-04-26 16:20:01.229179
Hotel Charleston Santa Teresa,267,2019-04-26 11:20:01.; 267,2019-04-26 11:20:01.228196
Hotel Charleston Santa Teresa,257,2019-04-19 13:05:00.; 257,2019-04-19 13:05:00.946344
Hotel Charleston Santa Teresa,263,2019-04-27 03:20:01.; 263,2019-04-27 03:20:01.831319
Hotel Charleston Santa Teresa,268,2019-04-25 21:20:01.; 268,2019-04-25 21:20:01.529956
Hotel Charleston Santa Teresa,262,2019-04-23 11:20:01.; 262,2019-04-23 11:20:01.147511
Hotel Charleston Santa Teresa,264,2019-04-19 12:05:01.; 264,2019-04-19 12:05:01.478238
Hotel Charleston Santa Teresa,245,2019-04-25 09:20:01.; 245,2019-04-25 09:20:01.820014
Hotel Charleston Santa Teresa,267,2019-04-25 19:20:01.; 267,2019-04-25 19:20:01.134498
Hotel Charleston Santa Teresa,245,2019-04-27 10:20:01.; 245,2019-04-27 10:20:01.000221
Hotel Charleston Santa Teresa,264,2019-04-19 11:05:01.; 264,2019-04-19 11:05:01.481239
Hotel Charleston Santa Teresa,257,2019-04-22 06:20:01.; 257,2019-04-22 06:20:01.457211
Hotel Charleston Santa Teresa,264,2019-04-18 22:05:01.; 264,2019-04-18 22:05:01.409088
Hotel Charleston Santa Teresa,266,2019-04-24 19:20:01.; 266,2019-04-24 19:20:01.063198
Hotel Charleston Santa Teresa,262,2019-04-23 10:20:02.; 262,2019-04-23 10:20:02.060000
Hotel Charleston Santa Teresa,257,2019-04-21 10:20:01.; 257,2019-04-21 10:20:01.620944
