Mean_Price_per_night;Datum;Delta Region
336.8;2019-05-07 11;
339;2019-05-07 12;
317;2019-05-07 13;
319;2019-05-07 14;
317.2;2019-05-07 15;
317.2;2019-05-07 16;
317.2;2019-05-07 17;
317.2;2019-05-07 18;
315.2;2019-05-07 19;
317.4;2019-05-07 20;
315.4;2019-05-07 21;
317.2;2019-05-07 22;
358;2019-05-07 23;
315.4;2019-05-08 00;
317.4;2019-05-08 01;
315.4;2019-05-08 02;
317.4;2019-05-08 03;
317.6;2019-05-08 04;
317.6;2019-05-08 05;
315.6;2019-05-08 06;
315.4;2019-05-08 07;
356.4;2019-05-08 08;
317.6;2019-05-08 09;
318.4;2019-05-08 10;
317.6;2019-05-08 11;
317.6;2019-05-08 12;
317.6;2019-05-08 13;
317.4;2019-05-08 14;
315.4;2019-05-08 15;
315.8;2019-05-08 16;
315.8;2019-05-08 17;
316.2;2019-05-08 18;
316.8;2019-05-08 19;
316.6;2019-05-08 20;
314.8;2019-05-08 21;
316.8;2019-05-08 22;
316.6;2019-05-08 23;
315.2;2019-05-09 00;
314.8;2019-05-09 01;
260.8;2019-05-09 02;
314.8;2019-05-09 03;
314.8;2019-05-09 04;
334.8;2019-05-09 05;
242.2;2019-05-09 06;
315;2019-05-09 07;
314.8;2019-05-09 08;
314.8;2019-05-09 09;
358;2019-05-09 10;
314.6;2019-05-09 11;
190;2019-05-09 12;
260.6;2019-05-09 13;
260.6;2019-05-09 14;
260.6;2019-05-09 15;
262.6;2019-05-09 16;
261.4;2019-05-09 17;
260.6;2019-05-09 18;
260.4;2019-05-09 19;
260.6;2019-05-09 20;
260.4;2019-05-09 21;
263;2019-05-09 22;
260.4;2019-05-09 23;
118.4;2019-05-10 00;
262;2019-05-10 01;
260.4;2019-05-10 02;
260.2;2019-05-10 03;
216.6;2019-05-10 04;
260.2;2019-05-10 05;
262.2;2019-05-10 06;
118.2;2019-05-10 07;
281.6;2019-05-10 08;
262.2;2019-05-10 09;
260.2;2019-05-10 10;
262;2019-05-10 11;
262.2;2019-05-10 12;
262;2019-05-10 13;
262;2019-05-10 14;
262.2;2019-05-10 15;
45.6;2019-05-10 16;
262;2019-05-10 17;
262;2019-05-10 18;
262;2019-05-10 19;
262;2019-05-10 20;
143.8;2019-05-10 21;
302.8;2019-05-10 22;
262;2019-05-10 23;
262;2019-05-11 00;
259.8;2019-05-11 01;
113.4;2019-05-11 02;
259.8;2019-05-11 03;
261.8;2019-05-11 05;
259.8;2019-05-11 06;
259.8;2019-05-11 07;
259.8;2019-05-11 08;
118.2;2019-05-11 09;
252.4;2019-05-11 10;
259.8;2019-05-11 11;
246.4;2019-05-11 12;
102.8;2019-05-11 13;
247.6;2019-05-11 14;
245.6;2019-05-11 15;
245.8;2019-05-11 16;
245.6;2019-05-11 17;
247.6;2019-05-11 18;
264;2019-05-11 19;
245.8;2019-05-11 20;
245.6;2019-05-11 21;
245.6;2019-05-11 22;
245.6;2019-05-11 23;
245.6;2019-05-12 00;
247.8;2019-05-12 01;
208.6;2019-05-12 02;
182.6;2019-05-12 03;
284.8;2019-05-12 04;
208.8;2019-05-12 05;
247.8;2019-05-12 06;
104;2019-05-12 07;
247.6;2019-05-12 08;
247.6;2019-05-12 09;
