price_per_night,timestamp,Influencer_or_Not,Hotel_ID
411,2019-04-30 10:26:45.353300,No Influencer,23
411,2019-04-30 09:13:01.369944,No Influencer,23
411,2019-04-27 11:20:01.150147,No Influencer,23
411,2019-04-24 04:20:01.166113,No Influencer,23
411,2019-04-30 00:20:01.244385,No Influencer,23
411,2019-04-30 03:13:01.254799,No Influencer,23
411,2019-04-26 06:20:01.518259,No Influencer,23
411,2019-04-30 10:13:01.917899,No Influencer,23
411,2019-04-27 07:20:01.137215,No Influencer,23
411,2019-04-29 23:20:01.970820,No Influencer,23
411,2019-04-27 20:20:01.513924,No Influencer,23
411,2019-04-26 17:20:01.518100,No Influencer,23
411,2019-04-27 00:20:01.533646,No Influencer,23
411,2019-04-25 11:20:01.546036,No Influencer,23
411,2019-04-26 00:20:01.795110,No Influencer,23
411,2019-04-29 20:20:01.146551,No Influencer,23
411,2019-04-28 08:20:01.679335,No Influencer,23
411,2019-04-29 01:20:01.291022,No Influencer,23
411,2019-04-24 08:20:01.591799,No Influencer,23
411,2019-04-24 02:20:01.309454,No Influencer,23
411,2019-04-28 23:20:01.204961,No Influencer,23
411,2019-04-27 05:20:01.509110,No Influencer,23
411,2019-04-26 10:20:01.729785,No Influencer,23
411,2019-04-28 09:20:01.094992,No Influencer,23
411,2019-04-30 16:12:01.363416,No Influencer,23
411,2019-04-26 07:20:01.191154,No Influencer,23
411,2019-04-29 05:20:01.094951,No Influencer,23
411,2019-04-27 04:20:01.713683,No Influencer,23
411,2019-04-26 21:20:01.308907,No Influencer,23
411,2019-04-30 07:13:01.466702,No Influencer,23
