price_per_night,timestamp,Influencer_or_Not,Hotel_ID
281,2019-04-29 10:20:01.295926,Influencer,53
281,2019-05-05 15:12:01.426829,Influencer,53
281,2019-05-06 23:12:01.056466,Influencer,53
293,2019-04-19 12:05:01.478238,Influencer,53
295,2019-04-19 08:05:01.380301,Influencer,53
282,2019-05-02 14:12:01.005284,Influencer,53
281,2019-05-02 00:12:01.496145,Influencer,53
372,2019-04-23 17:20:01.670610,Influencer,53
361,2019-04-30 07:13:01.445751,Influencer,53
363,2019-04-20 17:20:01.645385,Influencer,53
295,2019-04-19 05:05:01.105984,Influencer,53
281,2019-05-06 06:12:01.677381,Influencer,53
281,2019-05-04 20:12:01.706911,Influencer,53
281,2019-05-05 21:12:00.744334,Influencer,53
282,2019-05-02 07:12:02.125230,Influencer,53
362,2019-04-29 05:20:01.091044,Influencer,53
275,2019-05-11 17:12:01.160051,Influencer,53
281,2019-04-30 06:13:01.647519,Influencer,53
276,2019-05-08 10:12:01.267045,Influencer,53
372,2019-04-23 23:20:01.625738,Influencer,53
276,2019-05-09 07:12:01.440610,Influencer,53
235,2019-05-01 21:12:01.362411,Influencer,53
276,2019-05-09 17:12:01.439825,Influencer,53
281,2019-04-29 06:20:01.914994,Influencer,53
281,2019-05-01 17:12:01.691288,Influencer,53
282,2019-05-03 01:12:01.439186,Influencer,53
276,2019-05-08 01:12:01.531484,Influencer,53
371,2019-04-21 03:20:01.276184,Influencer,53
233,2019-04-22 03:20:01.655112,Influencer,53
371,2019-04-23 01:20:01.909555,Influencer,53
281,2019-05-04 21:12:01.057885,Influencer,53
293,2019-04-19 01:05:01.415603,Influencer,53
276,2019-05-09 01:12:01.512658,Influencer,53
235,2019-04-22 09:20:01.624707,Influencer,53
281,2019-05-02 01:12:01.234901,Influencer,53
371,2019-04-18 16:58:01.224516,Influencer,53
235,2019-04-22 06:20:01.457211,Influencer,53
281,2019-04-30 12:10:01.656551,Influencer,53
281,2019-04-27 20:20:01.489390,Influencer,53
371,2019-04-20 23:20:01.461182,Influencer,53
282,2019-05-07 07:12:01.410084,Influencer,53
281,2019-05-05 17:12:01.316333,Influencer,53
275,2019-05-09 21:12:01.655437,Influencer,53
281,2019-05-05 02:12:01.392462,Influencer,53
363,2019-04-21 22:20:01.523245,Influencer,53
276,2019-05-10 17:12:00.856335,Influencer,53
283,2019-04-24 20:20:01.481606,Influencer,53
281,2019-04-27 05:20:01.496720,Influencer,53
294,2019-05-08 19:12:00.836398,Influencer,53
371,2019-04-21 09:20:01.954046,Influencer,53
282,2019-05-01 13:12:01.360743,Influencer,53
276,2019-05-10 16:12:01.347766,Influencer,53
378,2019-04-25 09:20:01.820014,Influencer,53
282,2019-05-03 14:12:01.052213,Influencer,53
235,2019-05-02 06:12:01.268267,Influencer,53
276,2019-05-08 12:12:00.930913,Influencer,53
